"","date_value","arrests_violent","arrests_property","arrests_drugs","arrests_firearms","arrests_other","arrests_uncategorized","charges_violent","charges_property","charges_drugs","charges_firearms","charges_other","charges_uncategorized"
"1",2014-01-01,37,16,32,8,1,16,32,15,31,7,0,9
"2",2014-01-02,51,9,33,0,1,25,66,14,20,0,2,9
"3",2014-01-03,22,11,15,0,0,6,32,12,30,0,0,8
"4",2014-01-04,19,12,34,4,2,18,38,13,31,1,2,12
"5",2014-01-05,22,3,20,3,0,5,18,5,12,6,0,1
"6",2014-01-06,29,14,24,2,1,18,34,17,20,3,1,7
"7",2014-01-07,20,23,25,6,2,23,23,21,31,4,2,11
"8",2014-01-08,26,35,41,3,7,18,23,27,36,2,7,12
"9",2014-01-09,23,27,51,1,2,35,40,24,41,3,2,15
"10",2014-01-10,50,10,37,2,6,23,24,22,41,3,7,19
"11",2014-01-11,20,12,66,2,4,31,53,14,70,2,4,13
"12",2014-01-12,22,9,34,10,1,25,21,8,36,7,2,15
"13",2014-01-13,39,32,32,0,1,17,37,41,22,0,1,16
"14",2014-01-14,21,26,27,3,6,22,36,29,30,2,3,14
"15",2014-01-15,27,24,81,1,5,35,47,24,58,1,8,25
"16",2014-01-16,35,26,82,1,6,27,34,29,95,1,7,11
"17",2014-01-17,26,21,96,8,5,25,24,16,76,6,2,14
"18",2014-01-18,40,16,89,5,2,20,32,22,110,6,4,12
"19",2014-01-19,14,14,44,2,2,22,29,15,58,2,2,11
"20",2014-01-20,28,19,24,3,0,11,30,22,14,2,0,11
"21",2014-01-21,12,12,27,3,2,21,25,18,31,4,1,7
"22",2014-01-22,14,12,21,1,1,13,13,3,24,0,4,3
"23",2014-01-23,22,15,46,2,5,17,28,19,34,3,4,6
"24",2014-01-24,36,18,53,1,2,18,35,13,39,1,3,6
"25",2014-01-25,18,18,34,1,3,17,25,30,51,1,3,10
"26",2014-01-26,24,12,30,1,0,15,30,12,30,1,1,6
"27",2014-01-27,26,7,34,4,7,16,11,9,25,6,6,35
"28",2014-01-28,26,19,30,8,3,22,31,12,32,6,0,11
"29",2014-01-29,30,22,55,2,4,10,29,38,51,3,6,6
"30",2014-01-30,27,15,59,3,2,16,28,56,49,3,3,8
"31",2014-01-31,27,36,45,4,3,31,35,8,56,4,3,8
"32",2014-02-01,23,11,68,4,3,15,31,13,63,4,2,15
"33",2014-02-02,12,8,45,2,3,16,13,11,56,3,2,5
"34",2014-02-03,14,28,13,1,0,19,18,10,17,0,0,4
"35",2014-02-04,22,20,32,1,4,20,25,19,28,1,4,5
"36",2014-02-05,35,22,67,4,2,23,22,25,57,4,1,12
"37",2014-02-06,23,30,81,3,2,23,27,20,64,4,2,7
"38",2014-02-07,18,25,73,7,5,26,23,49,73,5,7,11
"39",2014-02-08,21,11,62,7,4,29,23,30,62,7,3,12
"40",2014-02-09,30,10,49,2,0,15,42,16,68,4,0,9
"41",2014-02-10,32,9,21,2,1,23,25,9,14,1,0,12
"42",2014-02-11,26,19,46,3,1,9,27,24,42,3,2,5
"43",2014-02-12,32,17,63,6,1,26,22,19,46,6,0,4
"44",2014-02-13,11,5,32,1,3,15,26,12,57,3,3,8
"45",2014-02-14,11,18,34,1,0,16,10,15,23,0,0,3
"46",2014-02-15,33,11,54,6,2,18,32,13,60,4,2,7
"47",2014-02-16,20,7,37,0,3,16,34,13,41,3,3,8
"48",2014-02-17,32,17,34,3,4,39,39,4,27,1,4,8
"49",2014-02-18,33,15,35,10,1,16,27,22,39,10,1,10
"50",2014-02-19,24,18,46,2,5,11,29,21,35,2,5,11
"51",2014-02-20,39,19,72,4,6,38,26,19,69,4,6,28
"52",2014-02-21,38,18,76,2,5,18,33,18,70,3,5,12
"53",2014-02-22,22,16,68,4,0,33,23,13,70,1,0,14
"54",2014-02-23,36,9,60,9,3,29,33,18,58,8,3,12
"55",2014-02-24,22,18,31,1,1,18,26,17,37,5,0,11
"56",2014-02-25,29,23,40,1,1,22,30,18,37,0,2,20
"57",2014-02-26,34,13,71,2,3,22,46,21,65,2,4,8
"58",2014-02-27,23,17,64,4,6,34,21,15,62,2,7,8
"59",2014-02-28,28,16,42,5,8,14,25,24,53,7,13,10
"60",2014-03-01,24,11,61,2,1,13,27,14,51,2,3,9
"61",2014-03-02,24,12,34,1,1,19,19,11,37,0,1,11
"62",2014-03-03,16,10,21,1,0,20,12,17,21,2,0,11
"63",2014-03-04,20,14,41,3,2,21,27,12,27,2,2,12
"64",2014-03-05,23,12,59,7,6,26,30,11,62,4,6,11
"65",2014-03-06,25,15,55,2,6,29,22,16,51,4,6,15
"66",2014-03-07,28,23,81,2,8,32,28,15,79,2,6,10
"67",2014-03-08,22,19,84,8,4,39,24,27,78,6,6,12
"68",2014-03-09,21,14,49,3,3,26,16,14,67,4,3,13
"69",2014-03-10,30,23,46,4,5,19,49,16,35,4,2,14
"70",2014-03-11,30,41,39,5,7,21,27,16,33,5,9,8
"71",2014-03-12,47,15,55,1,9,26,30,16,60,2,9,10
"72",2014-03-13,34,12,60,3,7,20,45,14,54,1,5,15
"73",2014-03-14,29,16,63,0,2,28,31,23,63,2,3,11
"74",2014-03-15,28,9,51,2,3,29,21,13,64,1,3,8
"75",2014-03-16,21,26,35,3,1,23,34,8,42,2,2,13
"76",2014-03-17,31,10,28,3,0,12,33,20,31,1,0,13
"77",2014-03-18,22,14,68,3,4,29,21,14,41,7,4,5
"78",2014-03-19,42,28,64,3,13,36,25,24,66,2,14,12
"79",2014-03-20,28,42,54,3,5,19,39,23,58,1,3,19
"80",2014-03-21,21,14,84,7,7,45,12,41,63,8,9,25
"81",2014-03-22,24,14,53,1,3,27,26,11,78,5,2,15
"82",2014-03-23,20,12,40,0,3,20,40,17,53,0,4,14
"83",2014-03-24,25,19,31,2,1,19,32,14,20,2,1,9
"84",2014-03-25,20,14,53,5,1,19,16,18,44,3,2,7
"85",2014-03-26,29,24,63,1,7,25,27,13,51,3,5,16
"86",2014-03-27,24,30,61,4,6,14,34,34,70,3,4,11
"87",2014-03-28,49,17,49,1,3,33,32,21,54,0,5,13
"88",2014-03-29,26,17,85,2,4,22,33,16,66,2,4,11
"89",2014-03-30,26,6,17,0,3,14,32,17,51,1,2,13
"90",2014-03-31,46,23,28,5,2,20,32,23,15,2,1,15
"91",2014-04-01,42,18,42,3,1,24,47,16,37,2,1,13
"92",2014-04-02,38,10,68,6,7,25,38,16,51,8,8,13
"93",2014-04-03,33,18,64,8,11,26,40,19,66,8,11,8
"94",2014-04-04,44,13,54,10,3,37,41,16,66,6,3,16
"95",2014-04-05,28,16,58,5,2,25,21,17,52,8,1,12
"96",2014-04-06,18,14,37,0,0,24,19,11,36,1,1,8
"97",2014-04-07,30,12,29,2,4,16,34,23,34,1,4,11
"98",2014-04-08,33,29,40,3,4,23,41,15,28,4,3,7
"99",2014-04-09,23,18,67,6,5,41,28,27,65,6,4,21
"100",2014-04-10,36,21,88,3,5,31,24,15,71,3,7,14
"101",2014-04-11,23,20,69,3,3,31,37,27,75,2,2,19
"102",2014-04-12,30,17,72,1,5,27,29,21,82,1,2,7
"103",2014-04-13,32,13,40,3,1,36,38,12,53,0,3,18
"104",2014-04-14,16,28,25,3,2,19,15,13,14,7,1,8
"105",2014-04-15,40,15,43,1,5,22,37,18,39,1,4,13
"106",2014-04-16,25,17,67,3,8,22,38,23,57,1,9,16
"107",2014-04-17,24,15,64,1,14,33,26,17,49,2,9,8
"108",2014-04-18,51,24,79,7,5,41,39,15,91,5,9,14
"109",2014-04-19,22,13,84,2,2,30,48,22,85,5,3,17
"110",2014-04-20,11,10,27,4,3,25,21,16,49,4,3,13
"111",2014-04-21,28,13,42,5,3,21,19,12,19,4,0,9
"112",2014-04-22,31,28,53,2,3,22,40,25,39,4,2,13
"113",2014-04-23,35,16,61,12,6,15,32,19,60,5,9,8
"114",2014-04-24,32,21,103,4,2,23,30,20,81,10,3,16
"115",2014-04-25,24,22,56,4,9,34,28,17,88,3,9,8
"116",2014-04-26,28,19,59,2,4,22,22,29,69,3,5,15
"117",2014-04-27,29,11,47,3,0,26,34,18,45,3,0,18
"118",2014-04-28,14,22,31,7,7,21,14,13,31,5,4,8
"119",2014-04-29,37,24,46,5,8,44,29,30,37,5,9,19
"120",2014-04-30,30,52,55,2,8,22,44,55,55,4,4,13
"121",2014-05-01,27,14,58,2,4,16,25,10,38,1,8,3
