"","dispatch_date","Aggravated Assault Firearm","Aggravated Assault No Firearm","All Other Offenses","Arson","Burglary Non-Residential","Burglary Residential","Disorderly Conduct","DRIVING UNDER THE INFLUENCE","Embezzlement","Forgery and Counterfeiting","Fraud","Gambling Violations","Homicide - Criminal","Homicide - Criminal ","Homicide - Justifiable ","Liquor Law Violations","Motor Vehicle Theft","Narcotic / Drug Law Violations","Offenses Against Family and Children","Other Assaults","Other Sex Offenses (Not Commercialized)","Prostitution and Commercialized Vice","Public Drunkenness","Rape","Receiving Stolen Property","Robbery Firearm","Robbery No Firearm","Theft from Vehicle","Thefts","Vagrancy/Loitering","Vandalism/Criminal Mischief","Weapon Violations"
"1",2010-01-01,17,21,61,2,4,25,16,37,0,0,13,0,1,0,0,1,11,21,0,68,4,0,4,6,1,8,13,32,45,3,89,8
"2",2010-01-02,9,12,71,1,16,16,6,10,1,0,21,0,0,0,0,1,9,35,0,34,0,4,2,1,1,8,13,39,43,0,50,2
"3",2010-01-03,1,16,58,2,12,12,4,12,1,0,9,0,0,0,0,0,13,17,0,55,7,0,0,2,0,3,10,35,42,0,44,1
"4",2010-01-04,5,4,51,1,5,21,8,5,0,0,33,0,0,0,0,1,20,22,0,47,2,0,0,2,0,7,8,40,60,0,39,2
"5",2010-01-05,6,23,81,1,3,25,15,6,0,3,42,0,0,0,0,0,13,43,0,58,8,8,1,2,0,8,14,35,53,2,32,3
"6",2010-01-06,4,9,67,1,6,29,11,7,1,0,37,0,0,0,0,2,15,50,0,48,3,1,1,1,0,13,15,31,67,5,31,3
"7",2010-01-07,6,17,94,1,2,18,19,17,2,2,27,0,1,1,0,1,15,52,0,68,4,7,2,3,0,9,24,42,65,4,33,12
"8",2010-01-08,10,29,64,1,2,26,4,15,0,0,26,0,1,0,0,0,13,54,0,44,3,3,1,3,2,9,15,33,49,0,34,4
"9",2010-01-09,5,17,85,2,8,13,14,21,0,1,18,0,0,0,0,0,11,30,0,41,0,3,2,1,0,16,11,42,43,1,32,4
"10",2010-01-10,5,19,53,2,5,9,9,18,0,0,10,0,0,0,0,1,15,11,0,58,3,0,2,2,1,9,10,21,39,1,37,6
"11",2010-01-11,5,13,62,0,8,29,11,7,2,1,27,0,0,0,0,1,20,24,0,67,2,7,0,1,0,11,10,38,59,1,44,5
